Tower sampling points:
-2.209742 0.219962 -0.477173
3.016779 0.219962 -0.477173
1.329925 -0.481253 -5.852173
-2.136962 0.041330 0.000000
-3.774243 2.832675 -7.517700
3.580708 0.933068 -0.657593
-3.629626 -2.534477 -7.624512
4.092464 3.078724 -7.643677
-0.146222 1.240547 -9.772339
1.590940 3.327421 -4.008423
4.021014 -2.408775 -7.705200
0.637419 -0.372913 -2.243774
-2.004890 0.201392 -6.396606
3.385905 -1.432877 -3.539307
-3.860095 0.142662 -8.709351
3.829957 0.408548 -8.547607
1.346496 -0.598323 -8.518677
-0.344986 0.915072 -4.417725
1.360775 -2.954157 -4.140381
3.151865 1.477360 -3.129883
0.141184 1.125398 -7.333252
0.352648 0.739760 -0.312378
2.937989 0.960754 -6.570679
-0.346094 -0.806286 -9.647461
2.956110 -1.000145 -0.656372
-3.730074 0.966599 -6.857910
-0.247982 -0.717334 -7.015015
1.303629 1.515115 -3.587158
1.059023 -0.579910 -4.041748
-4.017683 -0.798846 -7.161133
-0.844060 -0.339528 -1.207764
3.894318 -0.704633 -7.134521
1.934096 0.564504 -1.044678
-0.273896 -0.576949 -5.311279
3.385399 -0.092715 -1.990479
-2.148542 1.555610 -0.688599
0.641632 1.082646 -5.755859
1.396541 1.029524 -8.306274
2.347110 -0.414537 -7.072998
-0.293483 -0.255201 -3.450195
4.112349 1.627436 -7.255371
-0.838224 1.075202 -5.947388
-0.257637 0.804270 -2.277954
2.631383 2.330614 -4.170776
1.543110 1.099056 -6.866333
0.666055 0.140281 -9.553223
-0.513951 -0.408175 -8.330566
2.440896 -2.132474 -4.276855
-1.062040 0.717368 -0.451538
-2.651172 -0.571894 -7.239258
1.050494 -0.612974 -7.172119
0.876363 -0.297035 -0.921753
1.150754 0.760936 -4.622192
-0.876798 0.391558 -7.064819
1.071961 -1.794038 -3.783691
-2.214816 -0.971524 -0.679688
0.770110 0.717927 -1.590698
0.172535 1.281422 -8.599365
0.696053 0.478327 -3.472900
1.036483 1.334612 -9.560303
3.776292 0.479463 -7.348145
-1.129329 -0.494945 -6.100708
